Date,Team,IsWinner,WinningSeed,LosingSeed
3/14/2023,Pittsburgh University,Yes,11,11
3/14/2023,Texas A&M Corpus Christi,Yes,16,16
3/15/2023,Arizona State University,Yes,11,11
3/15/2023,Fairleigh Dickinson University,Yes,16,16
3/16/2023,Princeton University,Yes,15,2
3/16/2023,Furman University,Yes,13,4
3/16/2023,Penn State University,Yes,10,7
3/16/2023,Auburn University,Yes,9,8
3/16/2023,University of Arkansas,Yes,8,9
3/16/2023,University of Maryland,Yes,8,9
3/16/2023,Northwestern University,Yes,7,10
3/16/2023,University of Missouri,Yes,7,10
3/16/2023,San Diego State University,Yes,5,12
3/16/2023,Duke University,Yes,5,12
3/16/2023,University of Tennessee Knoxville,Yes,4,13
3/16/2023,University of Texas at Austin,Yes,2,15
3/16/2023,UCLA,Yes,2,15
3/16/2023,University of Kansas,Yes,1,16
3/16/2023,University of Houston,Yes,1,16
3/16/2023,University of Alabama,Yes,1,16
3/17/2023,Fairleigh Dickinson University,Yes,16,1
3/17/2023,Pittsburgh University,Yes,11,6
3/17/2023,Florida Atlantic University,Yes,9,8
3/17/2023,Michigan State University,Yes,7,10
3/17/2023,Texas Christian University,Yes,6,11
3/17/2023,Creighton University,Yes,6,11
3/17/2023,University of Kentucky,Yes,6,11
3/17/2023,University of Miami,Yes,5,12
3/17/2023,Saint Mary's College,Yes,5,12
3/17/2023,University of Connecticut,Yes,4,13
3/17/2023,Indiana University Bloomington,Yes,4,13
3/17/2023,Gonzaga University,Yes,3,14
3/17/2023,Xavier University,Yes,3,14
3/17/2023,Kansas State University,Yes,3,14
3/17/2023,Baylor University,Yes,3,14
3/17/2023,Marquette University,Yes,2,15
3/18/2023,University of Arkansas,Yes,8,1
3/18/2023,University of Tennessee Knoxville,Yes,4,5
3/18/2023,UCLA,Yes,2,7
3/18/2023,Princeton University,Yes,15,7
3/18/2023,University of Alabama,Yes,1,8
3/18/2023,University of Houston,Yes,1,9
3/18/2023,University of Texas at Austin,Yes,2,10
3/18/2023,San Diego State University,Yes,5,13
3/19/2023,Michigan State University,Yes,7,2
3/19/2023,Creighton University,Yes,6,3
3/19/2023,University of Miami,Yes,5,4
3/19/2023,University of Connecticut,Yes,4,5
3/19/2023,Gonzaga University,Yes,3,6
3/19/2023,Kansas State University,Yes,3,6
3/19/2023,Xavier University,Yes,3,11
3/19/2023,Florida Atlantic University,Yes,9,16
3/23/2023,Gonzaga University,Yes,3,2
3/23/2023,Florida Atlantic University,Yes,9,4
3/23/2023,Kansas State University,Yes,3,7
3/23/2023,University of Connecticut,Yes,4,8
3/24/2023,San Diego State University,Yes,5,1
3/24/2023,University of Miami,Yes,5,1
3/24/2023,University of Texas at Austin,Yes,2,3
3/24/2023,Creighton University,Yes,6,15
3/25/2023,University of Connecticut,Yes,4,3
3/25/2023,Florida Atlantic University,Yes,9,3
3/26/2023,University of Miami,Yes,5,2
3/26/2023,San Diego State University,Yes,5,6
4/1/2023,University of Connecticut,Yes,4,5
4/1/2023,San Diego State University,Yes,5,9
4/3/2023,University of Connecticut,Yes,4,5
3/14/2023,Mississippi State University,No,11,11
3/14/2023,Southeast Missouri State,No,16,16
3/15/2023,University of Nevada Reno,No,11,11
3/15/2023,Texas Southern University,No,16,16
3/16/2023,University of Arizona,No,15,2
3/16/2023,University of Virginia,No,13,4
3/16/2023,Texas A&M,No,10,7
3/16/2023,University of Iowa,No,9,8
3/16/2023,University of Illinois Urbana-Champaign,No,8,9
3/16/2023,West Virginia University,No,8,9
3/16/2023,Boise State University,No,7,10
3/16/2023,Utah State University,No,7,10
3/16/2023,College of Charleston,No,5,12
3/16/2023,Oral Roberts University,No,5,12
3/16/2023,University of Louisiana at Lafayette,No,4,13
3/16/2023,Colgate University,No,2,15
3/16/2023,University of North Carolina at Asheville,No,2,15
3/16/2023,Howard University,No,1,16
3/16/2023,Northern Kentucky University,No,1,16
3/16/2023,Texas A&M Corpus Christi,No,1,16
3/17/2023,Purdue University,No,16,1
3/17/2023,Iowa State University,No,11,6
3/17/2023,University of Memphis,No,9,8
3/17/2023,University of Southern California,No,7,10
3/17/2023,Arizona State University,No,6,11
3/17/2023,North Carolina State University,No,6,11
3/17/2023,Providence College,No,6,11
3/17/2023,Drake University,No,5,12
3/17/2023,Virginia Commonwealth University,No,5,12
3/17/2023,Iona University,No,4,13
3/17/2023,Kent State University,No,4,13
3/17/2023,Grand Canyon University,No,3,14
3/17/2023,Kennesaw State University,No,3,14
3/17/2023,Montana State University,No,3,14
3/17/2023,UC Santa Barbara,No,3,14
3/17/2023,University of Vermont,No,2,15
3/18/2023,University of Kansas,No,8,1
3/18/2023,Duke University,No,4,5
3/18/2023,Northwestern University,No,2,7
3/18/2023,University of Missouri,No,15,7
3/18/2023,University of Maryland,No,1,8
3/18/2023,Auburn University,No,1,9
3/18/2023,Penn State University,No,2,10
3/18/2023,Furman University,No,5,13
3/19/2023,Marquette University,No,7,2
3/19/2023,Baylor University,No,6,3
3/19/2023,Indiana University Bloomington,No,5,4
3/19/2023,Saint Mary's College,No,4,5
3/19/2023,Texas Christian University,No,3,6
3/19/2023,University of Kentucky,No,3,6
3/19/2023,Pittsburgh University,No,3,11
3/19/2023,Fairleigh Dickinson University,No,9,16
3/23/2023,UCLA,No,3,2
3/23/2023,University of Tennessee Knoxville,No,9,4
3/23/2023,Michigan State University,No,3,7
3/23/2023,University of Arkansas,No,4,8
3/24/2023,University of Alabama,No,5,1
3/24/2023,University of Houston,No,5,1
3/24/2023,Xavier University,No,2,3
3/24/2023,Princeton University,No,6,15
3/25/2023,Gonzaga University,No,4,3
3/25/2023,Kansas State University,No,9,3
3/26/2023,University of Texas at Austin,No,5,2
3/26/2023,Creighton University,No,5,6
4/1/2023,University of Miami,No,4,5
4/1/2023,Florida Atlantic University,No,5,9
4/3/2023,San Diego State University,No,4,5
