School,During_Start,During_End,Elim,Elim_1,Elim_2,Elim_3,Elim_4,Elim_5,Elim_6,Elim_7,Elim_13,Post_Start,Post_End,Pre_Start,Pre_End,Elim_Day
Arizona State University,74,78,79,80,81,82,83,84,85,86,92,79,133,2,73,77
Auburn University,74,79,80,81,82,83,84,85,86,87,93,80,133,2,73,78
Baylor University,74,80,81,82,83,84,85,86,87,88,94,81,133,2,73,79
Boise State University,74,77,78,79,80,81,82,83,84,85,91,78,133,2,73,76
Colgate University,74,77,78,79,80,81,82,83,84,85,91,78,133,2,73,76
College of Charleston,74,77,78,79,80,81,82,83,84,85,91,78,133,2,73,76
Creighton University,74,87,88,89,90,91,92,93,94,95,101,88,133,2,73,86
Drake University,74,78,79,80,81,82,83,84,85,86,92,79,133,2,73,77
Duke University,74,79,80,81,82,83,84,85,86,87,93,80,133,2,73,78
Fairleigh Dickinson University,74,80,81,82,83,84,85,86,87,88,94,81,133,2,73,79
Florida Atlantic University,74,93,94,95,96,97,98,99,100,101,107,94,133,2,73,92
Furman University,74,79,80,81,82,83,84,85,86,87,93,80,133,2,73,78
Gonzaga University,74,86,87,88,89,90,91,92,93,94,100,87,133,2,73,85
Grand Canyon University,74,78,79,80,81,82,83,84,85,86,92,79,133,2,73,77
Howard University,74,77,78,79,80,81,82,83,84,85,91,78,133,2,73,76
Indiana University Bloomington,74,80,81,82,83,84,85,86,87,88,94,81,133,2,73,79
Iona University,74,78,79,80,81,82,83,84,85,86,92,79,133,2,73,77
Iowa State University,74,78,79,80,81,82,83,84,85,86,92,79,133,2,73,77
Kansas State University,74,86,87,88,89,90,91,92,93,94,100,87,133,2,73,85
Kennesaw State University,74,78,79,80,81,82,83,84,85,86,92,79,133,2,73,77
Kent State University,74,78,79,80,81,82,83,84,85,86,92,79,133,2,73,77
Marquette University,74,80,81,82,83,84,85,86,87,88,94,81,133,2,73,79
Michigan State University,74,84,85,86,87,88,89,90,91,92,98,85,133,2,73,83
Mississippi State University,74,75,76,77,78,79,80,81,82,83,89,76,133,2,73,74
Montana State University,74,78,79,80,81,82,83,84,85,86,92,79,133,2,73,77
North Carolina State University,74,78,79,80,81,82,83,84,85,86,92,79,133,2,73,77
Northern Kentucky University,74,77,78,79,80,81,82,83,84,85,91,78,133,2,73,76
Northwestern University,74,79,80,81,82,83,84,85,86,87,93,80,133,2,73,78
Oral Roberts University,74,77,78,79,80,81,82,83,84,85,91,78,133,2,73,76
Penn State University,74,79,80,81,82,83,84,85,86,87,93,80,133,2,73,78
Pittsburgh University,74,80,81,82,83,84,85,86,87,88,94,81,133,2,73,79
Princeton University,74,85,86,87,88,89,90,91,92,93,99,86,133,2,73,84
Providence College,74,78,79,80,81,82,83,84,85,86,92,79,133,2,73,77
Purdue University,74,78,79,80,81,82,83,84,85,86,92,79,133,2,73,77
Saint Mary's College,74,80,81,82,83,84,85,86,87,88,94,81,133,2,73,79
San Diego State University,74,95,96,97,98,99,100,101,102,103,109,96,133,2,73,94
Southeast Missouri State,74,75,76,77,78,79,80,81,82,83,89,76,133,2,73,74
Texas A&M,74,77,78,79,80,81,82,83,84,85,91,78,133,2,73,76
Texas A&M Corpus Christi,74,77,78,79,80,81,82,83,84,85,91,78,133,2,73,76
Texas Christian University,74,80,81,82,83,84,85,86,87,88,94,81,133,2,73,79
Texas Southern University,74,76,77,78,79,80,81,82,83,84,90,77,133,2,73,75
UC Santa Barbara,74,78,79,80,81,82,83,84,85,86,92,79,133,2,73,77
UCLA,74,84,85,86,87,88,89,90,91,92,98,85,133,2,73,83
University of Alabama,74,85,86,87,88,89,90,91,92,93,99,86,133,2,73,84
University of Arizona,74,77,78,79,80,81,82,83,84,85,91,78,133,2,73,76
University of Arkansas,74,84,85,86,87,88,89,90,91,92,98,85,133,2,73,83
University of Connecticut,74,95,96,97,98,99,100,101,102,103,109,96,133,2,73,94
University of Houston,74,85,86,87,88,89,90,91,92,93,99,86,133,2,73,84
University of Illinois Urbana-Champaign,74,77,78,79,80,81,82,83,84,85,91,78,133,2,73,76
University of Iowa,74,77,78,79,80,81,82,83,84,85,91,78,133,2,73,76
University of Kansas,74,79,80,81,82,83,84,85,86,87,93,80,133,2,73,78
University of Kentucky,74,80,81,82,83,84,85,86,87,88,94,81,133,2,73,79
University of Louisiana at Lafayette,74,77,78,79,80,81,82,83,84,85,91,78,133,2,73,76
University of Maryland,74,79,80,81,82,83,84,85,86,87,93,80,133,2,73,78
University of Memphis,74,78,79,80,81,82,83,84,85,86,92,79,133,2,73,77
University of Miami,74,93,94,95,96,97,98,99,100,101,107,94,133,2,73,92
University of Missouri,74,79,80,81,82,83,84,85,86,87,93,80,133,2,73,78
University of Nevada Reno,74,76,77,78,79,80,81,82,83,84,90,77,133,2,73,75
University of North Carolina at Asheville,74,77,78,79,80,81,82,83,84,85,91,78,133,2,73,76
University of Southern California,74,78,79,80,81,82,83,84,85,86,92,79,133,2,73,77
University of Tennessee Knoxville,74,84,85,86,87,88,89,90,91,92,98,85,133,2,73,83
University of Texas at Austin,74,87,88,89,90,91,92,93,94,95,101,88,133,2,73,86
University of Vermont,74,78,79,80,81,82,83,84,85,86,92,79,133,2,73,77
University of Virginia,74,77,78,79,80,81,82,83,84,85,91,78,133,2,73,76
Utah State University,74,77,78,79,80,81,82,83,84,85,91,78,133,2,73,76
Virginia Commonwealth University,74,78,79,80,81,82,83,84,85,86,92,79,133,2,73,77
West Virginia University,74,77,78,79,80,81,82,83,84,85,91,78,133,2,73,76
Xavier University,74,85,86,87,88,89,90,91,92,93,99,86,133,2,73,84
