"","year","team","game","win","lose","tie","run_scored","run_allowed","batters","tpa","ab","hit","double","triple","hr","bb","ibb","hbp","so","rbi","r","sh","sf","sb","cs","gidp","e"
"157",2003,"Eagles",133,63,65,5,577,617,1739,5198,4458,1131,218,20,121,542,22,75,887,521,577,102,21,78,57,89,75
"158",2003,"Giants",133,39,91,3,491,709,1656,4987,4465,1143,232,18,73,338,11,73,848,451,491,83,28,84,66,75,104
"159",2003,"Landers",133,66,64,3,644,642,1656,5157,4445,1208,209,16,156,464,10,89,763,612,644,127,32,82,57,87,90
"160",2003,"Lions",133,76,53,4,769,613,1501,5241,4564,1295,236,14,213,481,19,85,661,744,769,73,38,56,32,131,75
"161",2003,"Tigers",133,78,50,5,657,527,1657,5127,4448,1211,219,16,129,505,18,42,721,626,657,94,37,146,67,72,70
"162",2003,"Twins",133,60,71,2,509,579,1694,4964,4375,1088,188,29,106,404,11,70,781,485,509,74,40,135,62,90,98
"163",2003,"Unicorns",133,80,51,2,723,627,1648,5313,4483,1280,208,15,175,543,23,109,727,673,723,139,38,75,48,100,112
"164",2004,"Bears",133,70,62,1,606,560,1674,5109,4485,1200,202,19,89,433,12,96,780,573,606,55,40,71,59,86,88
"165",2004,"Eagles",133,53,74,6,632,750,1729,5150,4519,1213,245,17,140,456,14,54,923,605,632,88,33,82,58,107,95
"166",2004,"Giants",133,50,72,11,533,608,1661,5075,4462,1125,195,21,88,416,15,92,853,500,533,74,31,129,46,99,87
"167",2004,"Landers",133,61,64,8,655,645,1728,5254,4499,1223,196,9,138,521,24,93,818,626,655,105,35,50,47,98,83
"168",2004,"Lions",133,73,52,8,641,564,1553,5170,4509,1215,225,9,132,460,22,86,704,600,641,84,31,50,32,122,88
"169",2004,"Tigers",133,67,61,5,643,637,1685,5190,4426,1182,224,9,143,549,22,79,693,610,643,82,54,127,54,118,79
"170",2004,"Twins",133,59,70,4,588,636,1753,5081,4432,1150,176,24,102,441,18,95,892,554,588,73,40,69,48,89,104
"171",2004,"Unicorns",133,75,53,5,692,590,1692,5322,4480,1233,190,13,134,607,29,86,871,653,692,111,38,100,45,109,78
"172",2005,"Bears",126,72,51,3,596,465,1665,4922,4256,1147,183,17,63,465,14,85,701,558,596,81,35,103,50,93,80
"173",2005,"Eagles",126,64,61,1,622,603,1507,4841,4304,1163,211,9,159,400,12,75,824,594,622,31,31,62,24,121,110
"174",2005,"Giants",126,58,67,1,500,573,1607,4722,4177,1058,202,23,83,361,11,70,856,470,500,94,20,88,52,83,98
"175",2005,"Landers",126,70,50,6,589,485,1631,4984,4230,1139,174,12,122,495,27,85,806,559,589,136,38,101,54,88,80
"176",2005,"Lions",126,74,48,4,614,528,1602,4975,4234,1134,178,6,111,500,21,109,748,575,614,98,34,97,38,112,86
"177",2005,"Tigers",126,49,76,1,541,659,1564,4848,4234,1102,183,13,99,430,24,74,718,507,541,79,31,101,43,101,98
"178",2005,"Twins",126,54,71,1,601,666,1612,4785,4222,1098,189,21,105,349,12,93,915,554,601,80,41,149,45,72,89
"179",2005,"Unicorns",126,53,70,3,563,647,1506,4899,4190,1071,168,16,134,458,12,120,817,529,563,105,26,81,38,85,100
"180",2006,"Bears",126,63,60,3,455,467,1640,4708,4147,1068,152,28,55,368,14,83,635,425,455,81,27,132,57,102,95
"181",2006,"Eagles",126,67,57,2,511,475,1596,4769,4170,1057,191,3,110,442,13,59,800,481,511,68,30,65,28,120,84
"182",2006,"Giants",126,50,73,3,488,541,1650,4766,4137,1034,173,3,88,418,17,65,815,463,488,124,21,62,41,84,84
"183",2006,"Landers",126,60,65,1,509,535,1583,4793,4177,1059,171,19,99,424,19,63,859,488,509,96,33,117,47,84,90
"184",2006,"Lions",126,73,50,3,538,471,1646,4779,4091,1043,192,9,73,477,14,79,689,505,538,90,42,121,52,107,76
"185",2006,"Tigers",126,64,59,3,476,451,1544,4754,4181,1067,191,22,62,390,20,55,650,431,476,102,26,93,43,90,66
"186",2006,"Twins",126,47,75,4,457,574,1612,4724,4217,1037,181,16,81,330,19,52,813,430,457,92,32,84,33,86,82
"187",2006,"Unicorns",126,70,55,1,547,467,1627,4798,4092,1104,172,9,92,444,17,77,628,518,547,153,32,71,47,108,93
"188",2007,"Bears",126,70,54,2,578,480,1632,4856,4199,1103,209,32,78,449,21,88,748,543,578,68,51,161,59,102,73
"189",2007,"Eagles",126,67,57,2,534,481,1593,4805,4128,1050,165,13,104,506,17,56,705,502,534,87,28,48,21,128,76
"190",2007,"Giants",126,55,68,3,533,554,1600,4894,4273,1152,193,18,76,405,34,73,763,501,533,104,39,67,46,87,82
"191",2007,"Landers",126,73,48,5,603,465,1686,4881,4236,1118,212,20,112,442,22,76,750,568,603,87,40,136,68,86,88
"192",2007,"Lions",126,62,60,4,497,509,1657,4895,4186,1062,191,9,86,511,28,63,678,469,497,95,39,101,46,93,87
"193",2007,"Tigers",126,51,74,1,499,602,1535,4811,4204,1080,198,16,73,428,7,55,630,466,499,78,45,70,44,117,77
"194",2007,"Twins",126,58,62,6,532,600,1631,4933,4322,1160,186,19,78,431,24,48,704,508,532,89,43,130,46,107,94
"195",2007,"Unicorns",126,56,69,1,530,615,1666,4920,4260,1154,178,7,96,443,38,60,653,507,530,125,32,51,36,111,96
"196",2008,"Bears",126,70,56,0,647,542,1678,4975,4344,1198,166,37,68,472,23,78,719,598,647,36,44,189,63,115,92
"197",2008,"Eagles",126,64,62,0,592,595,1630,4882,4275,1086,204,20,120,463,17,57,770,566,592,52,35,97,25,100,61
"198",2008,"Giants",126,69,57,0,624,518,1405,4890,4256,1200,199,22,93,445,13,76,728,590,624,62,51,133,68,97,92
"199",2008,"Heros",126,50,76,0,499,609,1765,4834,4317,1149,190,19,70,396,20,37,713,471,499,51,33,97,57,114,100
"200",2008,"Landers",126,83,43,0,632,461,1588,5003,4332,1222,215,23,89,491,15,62,735,591,632,80,38,170,83,99,102
"201",2008,"Lions",126,65,61,0,557,596,1650,4859,4180,1078,187,15,92,505,15,65,699,520,557,70,38,59,37,115,69
"202",2008,"Tigers",126,57,69,0,503,555,1572,4832,4210,1095,188,28,48,453,14,48,642,465,503,85,35,131,65,97,75
"203",2008,"Twins",126,46,80,0,468,646,1538,4743,4184,1070,164,23,66,364,6,59,765,447,468,85,50,111,45,90,76
"204",2009,"Bears",133,71,60,2,722,662,1670,5265,4591,1286,215,33,120,522,21,86,849,669,722,26,40,129,50,128,83
"205",2009,"Eagles",133,46,84,3,657,805,1700,5273,4620,1241,210,13,164,498,16,81,1017,629,657,43,31,69,20,126,94
"206",2009,"Giants",133,66,67,0,637,669,1533,5053,4420,1223,252,15,121,456,8,68,816,597,637,60,49,106,45,121,96
"207",2009,"Heros",133,60,72,1,683,762,1633,5211,4486,1219,228,20,153,547,22,63,905,650,683,64,48,192,67,116,90
"208",2009,"Landers",133,80,47,6,732,550,1705,5379,4574,1303,235,17,166,552,16,84,892,693,732,128,40,181,68,103,94
"209",2009,"Lions",133,64,69,0,685,700,1648,5220,4459,1224,233,15,146,584,23,67,789,650,685,67,43,125,50,108,80
"210",2009,"Tigers",133,81,48,4,706,581,1689,5215,4455,1191,197,24,156,579,26,66,890,671,706,74,41,113,52,111,94
"211",2009,"Twins",133,54,75,4,670,763,1656,5248,4505,1251,182,21,129,552,28,49,781,627,670,97,45,141,47,124,84
"212",2010,"Bears",133,73,57,3,731,669,1701,5252,4538,1276,224,25,149,533,27,89,834,706,731,54,38,128,61,97,91
"213",2010,"Eagles",133,49,82,2,543,763,1751,5009,4321,1053,160,13,104,497,10,80,943,508,543,75,33,121,70,106,80
"214",2010,"Giants",133,69,61,3,773,710,1567,5261,4673,1345,220,16,185,420,15,67,873,739,773,60,41,124,51,105,102
"215",2010,"Heros",133,52,78,3,570,652,1680,5139,4452,1165,199,20,87,480,16,68,874,539,570,95,43,135,56,119,93
"216",2010,"Landers",133,84,47,2,704,545,1715,5213,4439,1217,222,16,120,484,25,99,813,648,704,147,44,161,69,86,81
"217",2010,"Lions",133,79,52,2,681,575,1678,5287,4436,1207,212,14,118,621,29,75,916,630,681,111,44,158,55,111,92
"218",2010,"Tigers",133,59,74,0,611,641,1623,5166,4416,1148,190,17,106,523,14,85,865,574,611,109,33,117,52,110,86
"219",2010,"Twins",133,57,71,5,688,746,1618,5270,4604,1270,223,17,121,486,25,54,907,652,688,82,44,169,56,97,92
"220",2011,"Bears",133,61,70,2,614,619,1602,5204,4498,1221,196,27,92,513,17,81,799,578,614,73,39,130,57,118,81
"221",2011,"Eagles",133,59,72,2,568,727,1754,5085,4367,1112,160,14,93,488,14,74,906,536,568,130,25,100,76,93,82
"222",2011,"Giants",133,72,56,5,713,619,1671,5234,4599,1324,226,30,111,466,19,64,836,666,713,61,44,112,58,124,106
"223",2011,"Heros",133,51,80,2,512,622,1645,4989,4343,1065,187,23,79,460,16,51,992,472,512,103,32,99,55,94,96
"224",2011,"Landers",133,71,59,3,584,522,1616,5124,4404,1157,204,18,100,470,15,67,891,561,584,147,36,105,61,88,68
"225",2011,"Lions",133,79,50,4,625,513,1689,5145,4437,1150,193,20,95,522,23,69,940,585,625,73,43,158,51,97,75
"226",2011,"Tigers",133,70,63,0,627,580,1613,5129,4373,1177,204,15,106,554,11,59,782,597,627,109,34,113,38,110,67
"227",2011,"Twins",133,59,72,2,579,620,1677,5158,4522,1203,192,15,94,463,15,49,858,539,579,86,37,116,52,106,97
"228",2012,"Bears",133,68,62,3,524,519,1645,4938,4379,1139,172,26,59,362,12,54,659,490,524,102,40,116,51,129,78
"229",2012,"Eagles",133,53,77,3,509,647,1769,5057,4331,1077,208,12,71,538,17,61,907,479,509,100,27,107,53,102,73
"230",2012,"Giants",133,65,62,6,509,518,1701,5043,4481,1179,202,16,73,375,19,54,890,479,509,107,26,119,53,91,83
"231",2012,"Heros",133,61,69,3,549,551,1626,5021,4338,1056,189,28,102,476,17,72,892,509,549,92,43,179,72,79,78
"232",2012,"Landers",133,71,59,3,564,528,1642,4996,4347,1120,197,15,108,445,19,58,864,523,564,118,28,104,75,85,63
"233",2012,"Lions",133,80,51,2,628,473,1668,5161,4436,1205,200,26,89,500,19,86,813,585,628,91,47,125,48,91,67
"234",2012,"Tigers",133,62,65,6,553,564,1613,5131,4348,1112,197,19,54,544,18,60,790,518,553,132,47,132,51,100,88
"235",2012,"Twins",133,57,72,4,544,580,1733,5180,4539,1184,212,18,59,458,19,53,857,512,544,80,50,140,57,107,96
"236",2013,"Bears",128,71,54,3,699,625,1649,5142,4401,1271,217,37,95,524,19,79,717,654,699,82,56,172,61,105,61
"237",2013,"Dinos",128,52,72,4,512,551,1681,4866,4282,1045,209,25,86,434,11,62,955,485,512,55,31,142,47,94,93
"238",2013,"Eagles",128,42,85,1,480,711,1645,4915,4271,1106,212,13,47,479,11,80,933,448,480,54,30,70,49,140,74
"239",2013,"Giants",128,66,58,4,556,553,1564,4978,4289,1118,208,18,61,502,22,72,862,522,556,74,41,133,58,92,98
"240",2013,"Heros",128,72,54,2,646,576,1581,5015,4294,1167,209,11,125,505,12,98,912,607,646,76,42,131,65,94,97
"241",2013,"Landers",128,62,63,3,588,571,1556,4950,4278,1134,189,20,124,465,25,86,918,558,588,83,37,144,63,99,84
"242",2013,"Lions",128,75,51,2,669,545,1616,5042,4370,1235,212,17,113,453,9,93,818,624,669,84,41,95,41,98,76
"243",2013,"Tigers",128,51,74,3,587,711,1598,5051,4318,1125,195,13,88,537,8,75,864,545,587,78,42,141,47,110,71
"244",2013,"Twins",128,74,54,0,616,510,1613,4934,4291,1210,194,38,59,451,11,59,806,574,616,91,42,139,71,80,77
"245",2014,"Bears",128,59,68,1,687,733,1585,5083,4427,1299,235,26,108,468,10,64,731,646,687,81,43,111,44,103,81
"246",2014,"Dinos",128,70,57,1,737,608,1743,5031,4426,1249,228,36,143,443,9,67,918,697,737,44,51,154,47,90,87
"247",2014,"Eagles",128,49,77,2,619,889,1589,5055,4417,1251,223,24,104,490,5,55,839,594,619,50,43,70,41,125,113
"248",2014,"Giants",128,57,68,3,716,705,1615,5194,4487,1289,252,26,121,534,19,70,964,686,716,62,41,63,41,95,89
"249",2014,"Heros",128,78,48,2,841,716,1573,5163,4434,1323,275,31,199,523,10,101,849,786,841,65,40,100,44,100,79
"250",2014,"Landers",128,61,65,2,735,760,1537,5082,4423,1285,245,22,115,447,12,72,926,696,735,91,49,139,46,92,107
"251",2014,"Lions",128,78,47,3,812,621,1590,5152,4464,1345,238,23,161,507,11,62,743,763,812,76,43,161,46,88,77
"252",2014,"Tigers",128,54,74,0,662,788,1671,5023,4443,1279,246,27,121,416,11,62,870,631,662,67,35,121,63,95,94
"253",2014,"Twins",128,62,64,2,667,643,1658,5070,4349,1214,213,22,90,524,16,63,817,623,667,77,57,104,64,112,91
"254",2015,"Bears",144,79,65,0,807,776,1704,5759,4957,1436,254,22,140,567,24,99,820,770,807,75,60,111,47,139,93
"255",2015,"Dinos",144,84,57,3,844,655,1960,5727,4967,1437,283,28,161,536,24,106,1023,802,844,64,53,204,60,105,83
"256",2015,"Eagles",144,68,76,0,717,800,1899,5713,4850,1316,218,19,130,581,33,109,1133,667,717,139,35,80,47,112,105
"257",2015,"Giants",144,66,77,1,765,802,1821,5680,4972,1393,254,19,177,532,22,68,1186,727,765,80,28,104,50,136,114
"258",2015,"Heros",144,78,65,1,904,790,1769,5811,5069,1512,304,20,203,544,18,82,1098,855,904,61,55,100,47,112,110
"259",2015,"Landers",144,69,73,2,693,724,1845,5588,4861,1323,214,10,145,490,13,98,1047,656,693,110,29,94,59,113,95
"260",2015,"Lions",144,88,56,0,897,716,1771,5803,5019,1515,259,25,176,581,21,70,930,850,897,76,57,157,52,109,96
"261",2015,"Tigers",144,67,77,0,648,739,2022,5454,4777,1197,223,22,136,454,16,101,1126,602,648,79,43,115,50,105,84
"262",2015,"Twins",144,64,78,2,653,721,1988,5599,4941,1331,252,22,114,462,18,80,1076,601,653,75,41,113,62,98,103
"263",2015,"Wiz",144,52,91,1,670,875,1965,5605,4927,1344,221,15,129,507,21,58,1112,633,670,75,37,124,52,118,118
"264",2016,"Bears",144,93,50,1,935,682,1812,5841,5044,1504,284,25,183,600,11,86,884,877,935,43,68,85,45,121,79
"265",2016,"Dinos",144,83,58,3,857,690,1941,5833,5007,1457,249,19,169,609,18,93,1023,808,857,70,52,99,41,133,100
"266",2016,"Eagles",144,67,75,2,826,908,1888,5838,5109,1478,242,27,142,510,19,91,1025,787,826,87,41,64,38,123,124
"267",2016,"Giants",144,66,78,0,777,865,1840,5784,5001,1439,252,20,127,596,18,83,1061,732,777,62,41,145,64,120,91
"268",2016,"Heros",144,77,66,1,813,757,1780,5702,4990,1464,254,39,134,556,17,63,956,765,813,34,59,154,83,121,94
"269",2016,"Landers",144,69,75,0,753,784,1834,5672,5023,1464,234,19,182,429,13,102,1018,715,753,71,47,89,60,104,123
"270",2016,"Lions",144,65,78,1,852,869,1808,5863,5093,1492,249,34,142,552,15,75,864,792,852,88,55,104,50,119,90
"271",2016,"Tigers",144,71,73,0,803,785,1924,5696,4999,1429,264,28,170,499,12,87,997,754,803,66,45,101,50,109,111
"272",2016,"Twins",144,71,71,2,786,807,1936,5765,5051,1464,238,26,118,523,10,72,982,744,786,65,54,121,70,92,103
"273",2016,"Wiz",144,53,89,2,672,927,1921,5620,4963,1369,214,11,116,499,7,48,933,639,672,65,45,96,46,130,130
"274",2017,"Bears",144,84,57,3,849,678,1825,5833,5102,1499,270,20,178,541,19,95,960,812,849,48,47,69,33,120,90
"275",2017,"Dinos",144,79,62,3,786,745,1987,5790,5079,1489,277,19,149,471,19,130,979,739,786,62,48,93,32,119,108
"276",2017,"Eagles",144,61,81,2,737,820,1787,5665,5030,1445,261,16,150,416,15,94,974,684,737,85,38,64,44,112,91
"277",2017,"Giants",144,80,62,2,743,701,1844,5671,4994,1425,250,17,151,457,33,112,1018,697,743,76,32,92,44,146,86
"278",2017,"Heros",144,69,73,2,789,764,1813,5712,5098,1479,267,30,141,468,15,83,1066,748,789,21,42,70,34,129,91
"279",2017,"Landers",144,75,68,1,761,767,1772,5564,4925,1337,222,15,234,427,20,113,1100,733,761,57,41,53,42,97,108
"280",2017,"Lions",144,55,84,5,757,911,1786,5707,5095,1419,255,36,145,429,17,70,983,703,757,58,55,98,37,97,95
"281",2017,"Tigers",144,87,56,1,906,743,1933,5841,5142,1554,292,29,170,499,19,89,891,868,906,55,56,76,34,118,98
"282",2017,"Twins",144,69,72,3,699,677,1896,5614,4944,1390,216,20,110,438,17,101,1021,664,699,76,55,77,56,123,103
"283",2017,"Wiz",144,50,94,0,655,876,1864,5484,4936,1360,274,17,119,374,11,66,1017,625,655,62,45,86,51,118,112
"284",2018,"Bears",144,93,51,0,944,756,1837,5870,5176,1601,284,30,191,496,16,92,1016,898,944,43,63,96,23,112,77
"285",2018,"Dinos",144,58,85,1,660,844,1938,5488,4895,1280,233,18,143,427,15,88,1081,629,660,35,43,82,35,115,107
"286",2018,"Eagles",144,77,67,0,729,761,1764,5539,4972,1369,249,14,151,420,17,88,1098,668,729,31,28,118,64,113,99
"287",2018,"Giants",144,68,74,2,821,846,1910,5764,5130,1484,289,17,203,471,22,81,1157,792,821,45,37,68,32,124,117
"288",2018,"Heros",144,74,69,1,825,780,1757,5780,5141,1481,288,19,165,472,25,85,1208,787,825,32,50,101,33,93,106
"289",2018,"Landers",144,78,65,1,829,729,1773,5682,4992,1403,234,13,233,483,6,119,1079,791,829,54,34,108,39,103,116
"290",2018,"Lions",144,68,72,4,776,802,1717,5766,5109,1471,241,29,146,468,14,87,1034,732,776,57,45,116,52,115,79
"291",2018,"Tigers",144,70,74,0,865,826,1918,5744,5036,1487,258,22,170,503,27,99,905,823,865,56,50,88,37,135,94
"292",2018,"Twins",144,68,75,1,788,816,1789,5665,5070,1487,299,12,148,418,14,75,1001,740,788,51,51,71,38,125,100
"293",2018,"Wiz",144,59,81,4,757,834,1822,5605,5026,1382,264,13,206,464,14,46,1109,721,757,43,26,80,57,103,99
"294",2019,"Bears",144,88,55,1,736,550,1738,5669,4912,1364,235,31,84,562,16,73,799,692,736,39,83,102,38,117,83
"295",2019,"Dinos",144,73,69,2,674,631,1783,5631,4968,1383,249,26,128,456,14,83,880,639,674,64,60,86,45,126,95
"296",2019,"Eagles",144,58,86,0,607,737,1738,5482,4882,1249,223,16,88,441,12,70,1090,562,607,44,45,105,51,112,106
"297",2019,"Giants",144,48,93,3,578,764,1821,5488,4919,1231,214,22,90,430,12,64,1085,545,578,35,40,62,31,108,114
"298",2019,"Heros",144,86,57,1,780,572,1637,5658,4991,1405,252,37,112,514,13,69,943,741,780,36,48,110,33,122,99
"299",2019,"Landers",144,88,55,1,655,546,1731,5542,4919,1290,218,14,117,462,20,87,966,622,655,35,38,118,50,92,87
"300",2019,"Lions",144,60,83,1,622,731,1652,5533,4866,1245,230,26,122,478,15,78,976,598,622,58,53,107,42,107,105
"301",2019,"Tigers",144,62,79,3,605,723,1807,5505,4874,1286,248,19,76,496,13,59,919,566,605,31,45,87,42,108,110
"302",2019,"Twins",144,78,64,2,641,633,1825,5536,4928,1316,233,15,94,434,17,77,962,604,641,49,48,108,47,117,95
"303",2019,"Wiz",144,71,70,3,650,661,1887,5579,4962,1374,186,20,103,476,15,51,974,615,650,45,45,104,44,113,102
"304",2020,"Bears",144,79,61,4,816,695,1897,5776,5046,1477,263,20,125,551,20,68,796,778,816,38,73,88,37,132,76
"305",2020,"Dinos",144,83,55,6,888,714,1979,5833,5102,1483,258,28,187,529,21,104,997,845,888,46,51,101,38,106,73
"306",2020,"Eagles",144,46,95,3,551,820,1886,5483,4862,1189,195,12,79,462,9,89,1163,523,551,45,25,51,36,119,86
"307",2020,"Giants",144,71,72,1,750,720,1745,5669,4958,1366,252,6,131,569,18,55,875,711,750,39,48,90,31,148,77
"308",2020,"Heros",144,80,63,1,759,692,1767,5721,4945,1332,254,25,127,608,16,73,1030,713,759,43,52,113,27,107,98
"309",2020,"Landers",144,51,92,1,634,846,1897,5502,4839,1212,177,17,143,511,18,69,981,595,634,49,34,81,45,112,91
"310",2020,"Lions",144,64,75,5,699,745,1865,5574,4923,1317,211,12,129,486,10,62,990,658,699,50,53,132,49,117,84
"311",2020,"Tigers",144,73,71,0,724,795,1809,5642,4937,1355,224,13,130,535,10,69,957,692,724,63,38,47,25,114,82
"312",2020,"Twins",144,79,61,4,802,694,1986,5681,4999,1384,253,29,149,509,21,75,969,760,802,49,49,83,39,115,74
"313",2020,"Wiz",144,81,62,1,813,715,2002,5762,5047,1432,238,21,163,554,20,52,1097,767,813,64,45,106,50,104,92
