year,state,total_waste_weight,total_food,sample_size,population,total_waste_weight_per_capita,total_food_per_capita,sample_size_per_capita,coincident_index,gt_norm_sustain,gt_abs_sustain,gt_norm_cc,gt_abs_cc,gt_norm_sustain_per_capita,gt_abs_sustain_per_capita,gt_norm_cc_per_capita,gt_abs_cc_per_capita,ibis_grcy_revenue_usd_m_state,ibis_grcy_revenue_usd_m_per_capita_state
2000,florida,13663132.45,1325323.848,249.6206896551724,16047515,0.8514173347088319,0.08258748148856693,0.15555099319438084,80.45166666666667,66.75,1984385.25,28.0,4876063.25,0.04159522517972409,0.12365685590572746,0.0174481843450528,0.3038516088004903,25819.376613325658,16.089330100844684
2000,minnesota,3073240.28,393374.7558,390.0,4933692,0.6229088236557936,0.07973232941983407,0.7904830702848901,88.5075,60.75,1979949.75,11.25,5817059.25,0.1231329397943771,0.4013119890743078,0.022802396258217984,1.179047911786954,5784.993753206471,11.725486214393747
2001,kansas,1776923.72,168807.7534,150.0,2702162,0.6575933345225046,0.06247136677963793,0.5551110555177668,89.54166666666667,15.666666666666666,1104489.0,13.0,4184371.5,0.05797826579852232,0.40874270306517524,0.0481096248115398,1.5485272533623076,2609.9414526329515,9.658715697404343
2001,pennsylvania,8255199.59,1130962.344,1185.0,12298970,0.6712106452816781,0.09195585841741219,0.9634953170875284,91.01083333333334,49.83333333333333,1606140.0,12.5,4837497.5,0.04051829814474979,0.13059142350944836,0.010163452711893759,0.3933254166812343,15427.790401688027,12.543969455725177
2001,wisconsin,3349920.09,485738.4131,400.0,5406835,0.6195713555157499,0.0898378465590313,0.7398043402471132,90.69999999999999,3.3333333333333335,1028115.0,14.5,4910846.0,0.006165036168725943,0.19015098481829018,0.02681790733395785,0.9082662962712936,5078.453682099578,9.392655189403001
2002,oregon,2224461.58,431545.5465,844.0,3513424,0.6331321184121245,0.12282763096625969,2.402215047201818,83.80166666666666,15.166666666666668,937514.75,19.25,4378506.25,0.043167766448531875,0.2668379193629918,0.05478985741544431,1.2462219902863987,5407.593365496093,15.391234776947195
2003,california,30828303.77,5857377.716,550.0,35253159,0.874483440476923,0.16615185368210547,0.15601438724966463,85.60416666666667,39.0,396014.0,6.0,1279842.0,0.011062838368612583,0.011233433009507035,0.0017019751336327053,0.036304320982979144,64591.382523760054,18.322154483732948
2005,georgia,6430876.54,810290.444,569.0,8925922,0.7204719624482491,0.09077946726399805,0.6374691600486762,93.55166666666666,42.583333333333336,4332915.0,11.666666666666666,27374394.0,0.047707489863045335,0.485430524712181,0.013070545167957626,3.066842170478299,13139.208984375,14.720282100129264
2005,iowa,3258428.36,413820.4017,300.0,2964454,1.0991664434664865,0.13959413831349718,1.0119907409593807,94.52749999999999,23.916666666666668,6744430.0,15.75,29564346.0,0.08067815073759507,2.275100237682892,0.053129513900367485,9.972948138173168,5367.634765625,18.106655612213917
2006,delaware,864211.04,104569.5358,384.0,859268,1.005752617344065,0.1216960666520806,4.468920057537345,97.26,7.166666666666667,10104901.0,25.083333333333332,47083962.0,0.08340432399049734,11.759894468314892,0.2919151339667407,54.7954328568037,1266.74389648438,14.742128142609523
2010,connecticut,2379687.0,321481.0,499.2413793103448,3580279,0.6646652397760063,0.08979216424194875,1.3944203211826363,93.9525,48.833333333333336,6259479.0,12.630198634388579,3495123.125,0.13639532933978982,1.748321569352556,0.035277135202001236,0.9762152963498096,8136.78466796875,22.72667763592935
2011,vermont,413517.0,60078.0,100.0,629582,0.656811980012135,0.0954252186371275,1.588355448535695,101.915,27.333333333333332,8175072.0,15.916666666666666,14938594.0,0.4341504892664233,12.984920153371602,0.2528132422252648,23.727797173362642,1655.74597167969,26.299131355084644
2013,minnesota,2922045.0,519400.0,180.0,5430428,0.5380874214702782,0.09564623635558744,0.3314655861379619,113.41333333333334,43.75,6964650.0,9.333333333333334,21899512.0,0.08056455218631019,1.282523219164309,0.01718710446641284,4.032741434008517,9059.068359375,16.682052242244996
2015,connecticut,2332598.0,519832.0,247.0,3611995,0.6457921453379643,0.1439182501636907,0.6838326188159175,110.08583333333333,39.333333333333336,5041764.0,11.704531346989448,2150845.0,0.10889642242952534,1.3958391415270508,0.032404616692408066,0.5954728619502518,9752.646484375,27.000719780550636
2015,rhode island,528168.0,100030.0,211.0,1077348,0.49024827632297086,0.09284836468810449,1.9585129410366937,110.12583333333333,25.583333333333332,3945386.0,16.25,57192934.0,0.2374658265790936,3.662127743310425,0.1508333426153852,53.08677790277608,2318.39111328125,21.519426529600928
2015,texas,31150015.0,3225820.0,249.6206896551724,27399070,1.1369004495408055,0.11773465303749361,0.09110553374810619,127.3675,35.166666666666664,4338639.0,7.416666666666667,20882750.0,0.012834985518364917,0.15834986369975332,0.0027069045287546863,0.7621700298586777,45781.734375,16.70922931873235
2016,delaware,626914.0,132001.0,152.0,953030,0.6578114015298574,0.13850665771276874,1.5949130667450133,117.18,6.0,8459912.0,13.083333333333334,24558742.0,0.06295709473993473,8.876858021258512,0.13728144269680215,25.76911744646024,1649.75952148438,17.31067774870025
2016,washington,3999899.0,775975.0,486.0,7315935,0.5467379084149873,0.1060664152975662,0.6643033323833523,125.69833333333334,36.25,6505159.0,13.0,30502896.0,0.049549374071803536,0.8891767081036122,0.017769430701612302,4.169377666696055,14890.31640625,20.353265038918472
2017,maryland,4180425.64,899239.0,249.6206896551724,6112835,0.6838767347720003,0.1471067025365481,0.4083550261951654,123.3275,45.25,8120235.0,18.666666666666668,35039225.0,0.07402457288639396,1.3283910002478392,0.03053684038039088,5.73207439755858,14070.4013671875,23.017800034169905
2018,vermont,408940.0,109197.0,181.0,640667,0.6383035180522799,0.1704426792701981,2.825180632060025,131.48666666666665,16.416666666666668,4910028.0,17.25,16189995.0,0.2562433630367518,7.6639314963936025,0.26925064034826207,25.270530556435716,2050.17138671875,32.000577315809146
2021,california,63809306.0,6494119.0,556.0,39142991,1.6301591771563906,0.16590758227954527,0.14204330987379069,147.45166666666668,65.08333333333333,7930444.0,9.166666666666666,23463770.0,0.016627072094039345,0.2026018911022921,0.0023418411400055418,0.5994373296613945,105890.640625,27.052260933509146
